,breed,breed_url,breed_image,breed_group,weight,height,life_expectancy,breed_temperament,pdf_breed_standard,akc_breed_popularity
10,American Leopard Hound,https://www.akc.org/dog-breeds/american-leopard-hound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/05165905/American-Leopard-Hound.jpg,Foundation Stock Service,45-70 pounds,21-27 inches,12-15 years,"['Sociable', ' Energetic', ' Intelligent']",,
11,American Staffordshire Terrier,https://www.akc.org/dog-breeds/american-staffordshire-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07172714/AmStaff.Care_.jpg,Terrier Group,"55-70 pounds (male), 40-55 pounds (female)","18-19 inches (male), 17-18 inches (female)",12-16 years,"['Confident', ' Smart', ' Good-Natured']",http://images.akc.org/pdf/breeds/standards/AmericanStaffordshireTerrier.pdf,Ranks 85 of 195
12,American Water Spaniel,https://www.akc.org/dog-breeds/american-water-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04160619/American-Water-Spaniel-copy-4.jpg,Sporting Group,"30-45 pounds (male), 25-40 pounds (female)",15-18 inches,10-14 years,"['Eager', ' Happy', ' Charming']",http://images.akc.org/pdf/breeds/standards/AmericanWaterSpaniel.pdf,Ranks 166 of 195
13,Anatolian Shepherd Dog,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001445/Anatolian-Shepherd-Dog-Care.jpg,Working Group,"110-150 pounds (male), 80-120 pounds (female)","29 inches (male), 27 inches (female)",11-13 years,"['Loyal', ' Independent', ' Reserved']",http://images.akc.org/pdf/breeds/standards/AnatolianShepherdDog.pdf,Ranks 90 of 195
14,Appenzeller Sennenhund,https://www.akc.org/dog-breeds/appenzeller-sennenhund/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07194700/AdobeStock_69036312.jpg,Foundation Stock Service,48-70 pounds,19-22 inches,12-15 years,"['Agile', ' Versatile', ' Lively']",http://www.fci.be/Nomenclature/Standards/046g02-en.pdf,
15,Australian Cattle Dog,https://www.akc.org/dog-breeds/australian-cattle-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06162729/Australian_Cattle_Dog.jpg,Herding Group,35-50 pounds,"18-20 inches (male), 17-19 inches (female)",12-16 years,"['Alert', ' Curious', ' Pleasant']",http://images.akc.org/pdf/breeds/standards/AustralianCattleDog.pdf,Ranks 55 of 195
16,Australian Kelpie,https://www.akc.org/dog-breeds/australian-kelpie/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20110441/Australian-Kelpie-head-portrait-outdoors.jpg,Foundation Stock Service,,17-20 inches,10-13 years,"['Loyal', ' Alert', ' Intelligent']",http://ankc.org.au/media/pdf/635576344320930744_d0d9014f-a85b-407a-8dc0-d2010a9293e0.pdf,
17,Australian Shepherd,https://www.akc.org/dog-breeds/australian-shepherd/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03172411/Australian-Shepherd-Care1.jpg,Herding Group,"50-65 pounds (male), 40-55 pounds (female)","20-23 inches (male), 18-21 inches (female)",12-15 years,"['Smart', ' Work-Oriented', ' Exuberant']",http://images.akc.org/pdf/breeds/standards/AustralianShepherd.pdf,Ranks 17 of 195
18,Australian Stumpy Tail Cattle Dog,https://www.akc.org/dog-breeds/australian-stump-tail-cattle-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/07/27193149/GettyImages-454288255.jpg,Foundation Stock Service,"38-45 pounds (males), 32-35 pounds (females)","18-20 inches (males), 17-19 inches (females)",12-15 years,"['Alert', ' Trainable', ' Comical']",http://www.fci.be/Nomenclature/Standards/351g01-en.pdf,
19,Australian Terrier,https://www.akc.org/dog-breeds/australian-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30112154/Australian-Terrier-Care.jpg,Terrier Group,15-20 pounds,10-11 inches,11-15 years,"['Affectionate', ' Courageous', ' Spirited']",http://images.akc.org/pdf/breeds/standards/AustralianTerrier.pdf,Ranks 140 of 195
20,Azawakh,https://www.akc.org/dog-breeds/azawakh/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/05230810/Azawakh.jpg,Hound Group,"44-55 pounds (male), 33-44 pounds (female)","25-29 inches (male), 23.5-27.5 inches (female)",12-15 years,"['Loyal', ' Independent', ' Deeply Affectionate']",http://images.akc.org/pdf/judges/Azawakh_Standard.pdf,Ranks  of 195
21,Barbet,https://www.akc.org/dog-breeds/barbet/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27114846/Barbet-care.jpg,Sporting Group,35-65 pounds,19-24.5 inches,12-14 years,"['Friendly', ' Bright', ' Sweet-Natured']",http://images.akc.org/pdf/breeds/standards/Official_Standard_for_the_Barbet.pdf,Ranks  of 195
22,Basenji,https://www.akc.org/dog-breeds/basenji/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19135809/Basenji-sitting-in-three-quarter-view.jpg,Hound Group,"24 pounds (male), 22 pounds (female)","17 inches (male), 16 inches (female)",13-14 years,"['Independent', ' Smart', ' Poised']",http://images.akc.org/pdf/breeds/standards/Basenji.pdf,Ranks 87 of 195
23,Basset Fauve de Bretagne,https://www.akc.org/dog-breeds/basset-fauve-de-bretagne/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28184352/AdobeStock_23183546.jpg,Foundation Stock Service,27-35 pounds,12.5-15.5 inches,12+ years,"['Smart', ' Cheerful', ' Determined']",http://www.fci.be/Nomenclature/Standards/036g06-en.pdf,
24,Basset Hound,https://www.akc.org/dog-breeds/basset-hound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20172632/Basset-Hound-sitting-on-a-park-bench.jpg,Hound Group,40-65 pounds,up to 15 inches,12-13 years,"['Charming', ' Patient', ' Low-Key']",http://images.akc.org/pdf/breeds/standards/BassetHound.pdf,Ranks 39 of 195
25,Bavarian Mountain Scent Hound,https://www.akc.org/dog-breeds/bavarian-mountain-scent-hound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13181850/Bavarian.186002935.jpg,Foundation Stock Service,37-66 pounds,17-20.5 inches,12-15 years,"['Loyal', ' Versatile', ' Reserved with Strangers']",http://www.fci.be/Nomenclature/Standards/217g06-en.pdf,
26,Beagle,https://www.akc.org/dog-breeds/beagle/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27225027/Beagle-care1.jpg,Hound Group,"under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)","13 inches & under, 13-15 inches",10-15 years,"['Friendly', ' Curious', ' Merry']",http://images.akc.org/pdf/breeds/standards/Beagle.pdf,Ranks 6 of 195
27,Bearded Collie,https://www.akc.org/dog-breeds/bearded-collie/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08230209/Bearded-Collie.jpg,Herding Group,45-55 pounds,"21-22 inches (male), 20-21 inches (female)",12-14 years,"['Smart', ' Bouncy', ' Charismatic']",http://images.akc.org/pdf/breeds/standards/BeardedCollie.pdf,Ranks 127 of 195
28,Beauceron,https://www.akc.org/dog-breeds/beauceron/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09195826/Beauceron-day_2_dec_14_115.jpg,Herding Group,70-110 pounds,"25.5-27.5 inches (male), 24-26.5 inches (female)",10-12 years,"['Gentle', ' Faithful', ' Obedient']",http://images.akc.org/pdf/breeds/standards/Beauceron.pdf,Ranks 124 of 195
29,Bedlington Terrier,https://www.akc.org/dog-breeds/bedlington-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04104915/Bedlington.Care_.jpg,Terrier Group,17-23 pounds,15-17.5 inches,11-16 years,"['Loyal', ' Charming', ' Frollicking']",http://images.akc.org/pdf/breeds/standards/BedlingtonTerrier.pdf,Ranks 141 of 195
30,Belgian Laekenois,https://www.akc.org/dog-breeds/belgian-laekenois/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09202732/Belgian-Laekenois.care_.jpg,Miscellaneous Class,55-65 pounds,"24-26 inches (male), 22-24 inches (female)",10-12 years,"['Affectionate', ' Alert', ' Intelligent']",https://images.akc.org/pdf/breeds/standards/BelgianLaekenois.pdf,
31,Belgian Malinois,https://www.akc.org/dog-breeds/belgian-malinois/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09230142/Belgian-Malinois.jpg,Herding Group,"60-80 pounds (male), 40-60 pounds (female)","24-26 inches (male), 22-24 inches (female)",14-16 years,"['Confident', ' Smart', ' Hardworking']",http://images.akc.org/pdf/breeds/standards/BelgianMalinois.pdf,Ranks 43 of 195
32,Belgian Sheepdog,https://www.akc.org/dog-breeds/belgian-sheepdog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28172010/Belgian-Sheepdog.jpg,Herding Group,"55-75 pounds (male), 45-60 pounds (female)","24-26 inches (male), 22-24 inches (female)",12-14 years,"['Bright', ' Watchful', ' Serious-Minded']",http://images.akc.org/pdf/breeds/standards/BelgianSheepdog.pdf,Ranks 125 of 195
33,Belgian Tervuren,https://www.akc.org/dog-breeds/belgian-tervuren/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29201354/Belgian-Tervuren.care_.jpg,Herding Group,"55-75 pounds (male), 45-60 pounds (female)","24-26 inches (male), 22-24 inches (female)",12-14 years,"['Courageous', ' Alert', ' Intelligent']",http://images.akc.org/pdf/breeds/standards/BelgianTervuren.pdf,Ranks 106 of 195
34,Bergamasco Sheepdog,https://www.akc.org/dog-breeds/bergamasco-sheepdog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/10190945/Bergamasco-Sheepdog.jpg,Herding Group,"70-84 pounds (male), 57-71 pounds (female)","23.5 inches (male), 22 inches (female)",13-15 years,"['Independent', ' Sociable', ' Intelligent']",http://images.akc.org/pdf/breeds/standards/Bergamasco.pdf,Ranks 187 of 195
35,Berger Picard,https://www.akc.org/dog-breeds/berger-picard/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28160308/Berger-Picard-Care1-500x750.jpg,Herding Group,50-70 pounds,"23.5-25.5 inches (male), 21.5-23.5 inches (female)",12-13 years,"['Loyal', ' Good-Natured', ' Observant']",http://images.akc.org/pdf/breeds/standards/BergerPicard.pdf,Ranks 144 of 195
36,Bernese Mountain Dog,https://www.akc.org/dog-breeds/bernese-mountain-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230232/day_2_dec_14_110.jpg,Working Group,"80-115 pounds (male), 70-95 pounds (female)","25-27.5 inches (male), 23-26 inches (female)",7-10 years,"['Good-Natured', ' Calm', ' Strong']",http://images.akc.org/pdf/breeds/standards/BerneseMountainDog.pdf,Ranks 22 of 195
37,Bichon Frise,https://www.akc.org/dog-breeds/bichon-frise/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232420/AKC-121416-227.jpg,Non-Sporting Group,12-18 pounds,9.5-11.5 inches,14-15 years,"['Playful', ' Curious', ' Peppy']",http://images.akc.org/pdf/breeds/standards/BichonFrise.pdf,Ranks 46 of 195
38,Biewer Terrier,https://www.akc.org/dog-breeds/biewer-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14171205/Biewer-Care.jpg,Miscellaneous Class,4-8 pounds,7-11 inches,16 years,"['Intelligent', ' Devoted', ' Amusing']",http://akc.org/pdf/Official-Standard-for-the-Biewer-Terrier/,
39,Black and Tan Coonhound,https://www.akc.org/dog-breeds/black-and-tan-coonhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13113425/BlackAndTanCoonhound-HP12251701-06.jpg,Hound Group,65-110 pounds,"25-27 inches (male), 23-25 inches (female)",10-12 years,"['Easy-Going', ' Bright', ' Brave']",http://images.akc.org/pdf/breeds/standards/BlackandTanCoonhound.pdf,Ranks 138 of 195
40,Black Russian Terrier,https://www.akc.org/dog-breeds/black-russian-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000309/Black-Russian-Terrier-Care.jpg,Working Group,80-130 pounds,"27-30 inches (male), 26-29 inches (female)",10-12 years,"['Intelligent', ' Calm', ' Powerful']",http://images.akc.org/pdf/breeds/standards/BlackRussianTerrier.pdf,Ranks 118 of 195
41,Bloodhound,https://www.akc.org/dog-breeds/bloodhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27165437/Bloodhound.jpg,Hound Group,"90-110 pounds (male), 80-100 pounds (female)","25-27 inches (male), 23-25 inches (female)",10-12 years,"['Friendly', ' Independent', ' Inquisitive']",http://images.akc.org/pdf/breeds/standards/Bloodhound.pdf,Ranks 49 of 195
42,Bluetick Coonhound,https://www.akc.org/dog-breeds/bluetick-coonhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16172724/Bluetick_Coonhound_-Care.jpg,Hound Group,"55-80 pounds (male), 45-65 pounds (female)","22-27 inches (male), 21-25 inches (female)",11-12 years,"['Smart', ' Devoted', ' Tenacious']",http://images.akc.org/pdf/breeds/standards/BluetickCoonhound.pdf,Ranks 130 of 195
43,Boerboel,https://www.akc.org/dog-breeds/boerboel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000111/Boerboel-Care.jpg,Working Group,150-200 pounds,"24-27 inches (male), 22-25 inches (female)",9-11 years,"['Confident', ' Intelligent', ' Calm']",http://images.akc.org/pdf/breeds/standards/Boerboel.pdf,Ranks 121 of 195
44,Bohemian Shepherd,https://www.akc.org/dog-breeds/bohemian-shepherd/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/25125247/Bohemian-Shepherd-care.jpg,Foundation Stock Service,"41-60 pounds (males), 37-53 pounds (females)","20.5-21.7 inches (males), 19.3-20.5 inches (females)",12-15 years,"['Friendly', ' Devoted', ' Alert and Intelligent']",http://www.fci.be/Nomenclature/Standards/364g01-en.pdf,
45,Bolognese,https://www.akc.org/dog-breeds/bolognese/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20143333/Bolognese-standing-outdoors.jpg,Foundation Stock Service,5.5-9 pounds,10-12 inches,12-14 years,"['Playful', ' Easy-Going', ' Devoted']",http://www.fci.be/Nomenclature/Standards/196g09-en.pdf,
46,Border Collie,https://www.akc.org/dog-breeds/border-collie/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27112214/Border-Collie-care1.jpg,Herding Group,30-55 pounds,"19-22 inches (male), 18-21 inches (female)",12-15 years,"['Affectionate', ' Smart', ' Energetic']",http://images.akc.org/pdf/breeds/standards/Border_Collie.pdf,Ranks 35 of 195
47,Border Terrier,https://www.akc.org/dog-breeds/border-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20133529/Border-Terrier-laying-down.jpg,Terrier Group,"13-15.5 pounds (male), 11.5-14 pounds (female)",12-15 inches,12-15 years,"['Affectionate', ' Happy', ' Plucky']",http://images.akc.org/pdf/breeds/standards/BorderTerrier.pdf,Ranks 88 of 195
48,Borzoi,https://www.akc.org/dog-breeds/borzoi/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16192655/Borzoi-Care1.jpg,Hound Group,"75-105 pounds (male), 60-85 pounds (female)","28 inches & up (male), 26 inches & up (female)",9-14 years,"['Affectionate', ' Loyal', ' Regally Dignified']",http://images.akc.org/pdf/breeds/standards/Borzoi.pdf,Ranks 103 of 195
49,Boston Terrier,https://www.akc.org/dog-breeds/boston-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20143915/Boston-Terrier-head-portrait-outdoors.jpg,Non-Sporting Group,12-25 pounds,15-17 inches,11-13 years,"['Friendly', ' Bright', ' Amusing']",http://images.akc.org/pdf/breeds/standards/BostonTerrier.pdf,Ranks 21 of 195
50,Bouvier des Flandres,https://www.akc.org/dog-breeds/bouvier-des-flandres/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235754/Bouvier-des-Flandres-Care.jpg,Herding Group,70-110 pounds,"24.5-27.5 inches (male), 23.5-26.5 inches (female)",10-12 years,"['Affectionate', ' Courageous', ' Strong-Willed']",http://images.akc.org/pdf/breeds/standards/BouvierdesFlandres.pdf,Ranks 84 of 195
51,Boxer,https://www.akc.org/dog-breeds/boxer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17160045/Boxer-Care1.jpg,Working Group,"65-80 pounds (male), females are about 15 pounds less than male","23-25 inches (male), 21.5-23.5 inches (female)",10-12 years,"['Bright', ' Fun-Loving', ' Active']",http://images.akc.org/pdf/breeds/standards/Boxer.pdf,Ranks 11 of 195
52,Boykin Spaniel,https://www.akc.org/dog-breeds/boykin-spaniel/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30224151/Boykin_Spaniel_Run.jpg,Sporting Group,"30-40 pounds (male), 25-35 pounds (female)","15.5-18 inches (male), 14-16.5 inches (female)",10-15 years,"['Friendly', ' Eager', ' Lovable']",http://images.akc.org/pdf/breeds/standards/BoykinSpaniel.pdf,Ranks 100 of 195
53,Bracco Italiano,https://www.akc.org/dog-breeds/bracco-italiano/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15105108/Bracco.Care_.jpg,Miscellaneous Class,55-90 pounds,21-27 inches,10-14 years,"['Affectionate', ' Intelligent', ' Enthusiastic']",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09141325/Bracco-Italiano1.pdf,
54,Braque du Bourbonnais,https://www.akc.org/dog-breeds/braque-du-bourbonnais/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/05185455/Braque-du-Bourbonnais.jpg,Foundation Stock Service,35-53 pounds,19-22.5 inches,10-12 years,"['Affectionate', ' Adaptable', ' Gentle']",http://www.fci.be/Nomenclature/Standards/179g07-en.pdf,
55,Braque Francais Pyrenean,https://www.akc.org/dog-breeds/braque-francais-pyrenean/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12185734/Braque-Francais-Pyrenean-Care.jpg,Foundation Stock Service,40-55 pounds,18.5-23 inches,,"['Friendly', ' Smart', ' Willing to Please']",http://www.fci.be/Nomenclature/Standards/134g07-en.pdf,
56,Briard,https://www.akc.org/dog-breeds/briard/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17175617/IMG_6661.jpg,Herding Group,55-100 pounds,"23-27 inches (male), 22-25.5 inches (female)",12 years,"['Confident', ' Smart', ' Faithful']",http://images.akc.org/pdf/breeds/standards/Briard.pdf,Ranks 132 of 195
57,Brittany,https://www.akc.org/dog-breeds/brittany/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27155856/Brittany-standing-in-a-field.jpg,Sporting Group,30-40 pounds,17.5-20.5 inches,12-14 years,"['Bright', ' Fun-Loving', ' Upbeat']",http://images.akc.org/pdf/breeds/standards/Brittany.pdf,Ranks 26 of 195
58,Broholmer,https://www.akc.org/dog-breeds/broholmer/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13205006/Broholmer-care.jpg,Foundation Stock Service,90-150 pounds,27.5-29.5 inches,8-10 years,"['Friendly', ' Watchful', ' Loving']",http://www.fci.be/Nomenclature/Standards/315g02-en.pdf,
59,Brussels Griffon,https://www.akc.org/dog-breeds/brussels-griffon/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213537/Brussels-Griffith-Care.jpg,Toy Group,8-10 pounds,7-10 inches,12-15 years,"['Loyal', ' Alert', ' Curious']",http://images.akc.org/pdf/breeds/standards/BrusselsGriffon.pdf,Ranks 98 of 195
60,Bull Terrier,https://www.akc.org/dog-breeds/bull-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235410/Bull-Terrier-Care.jpg,Terrier Group,50-70 pounds,21-22 inches,12-13 years,"['Playful', ' Charming', ' Mischievous']",http://images.akc.org/pdf/breeds/standards/BullTerrier.pdf,Ranks 62 of 195
61,Bulldog,https://www.akc.org/dog-breeds/bulldog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235340/Bulldog-Care.jpg,Non-Sporting Group,"50 pounds (male), 40 pounds (female)",14-15 inches,8-10 years,"['Friendly', ' Courageous', ' Calm']",http://images.akc.org/pdf/breeds/standards/Bulldog.pdf,Ranks 5 of 195
62,Bullmastiff,https://www.akc.org/dog-breeds/bullmastiff/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235243/Bullmastiff-Care.jpg,Working Group,"110-130 pounds (male), 100-120 pounds (female)","25-27 inches (male), 24-26 inches (female)",7-9 years,"['Affectionate', ' Loyal', ' Brave']",http://images.akc.org/pdf/breeds/standards/Bullmastiff.pdf,Ranks 51 of 195
63,Cairn Terrier,https://www.akc.org/dog-breeds/cairn-terrier/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12164840/Cairn-Terrier-sitting-up-begging.jpg,Terrier Group,"14 pounds (male), 13 pounds (female)","10 inches (male), 9.5 inches (female)",13-15 years,"['Alert', ' Cheerful', ' Busy']",http://images.akc.org/pdf/breeds/standards/CairnTerrier.pdf,Ranks 69 of 195
64,Canaan Dog,https://www.akc.org/dog-breeds/canaan-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18115204/Canaan-Dog-Care1.jpg,Herding Group,"45-55 pounds (male), 35-45 pounds (female)","20-24 inches (male), 19-23 inches (female)",12-15 years,"['Confident', ' Alert', ' Vigilant']",http://images.akc.org/pdf/breeds/standards/Canaan_Dog.pdf,Ranks 179 of 195
65,Cane Corso,https://www.akc.org/dog-breeds/cane-corso/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235056/Cane-Corso-Care.jpg,Working Group,Proportionate to height,"25-27.5 inches (male), 23.5-26 inches (female)",9-12 years,"['Affectionate', ' Intelligent', ' Majestic']",http://images.akc.org/pdf/breeds/standards/CaneCorso.pdf,Ranks 32 of 195
66,Cardigan Welsh Corgi,https://www.akc.org/dog-breeds/cardigan-welsh-corgi/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18151535/Cardigan-Welsh-Corgi.jpg,Herding Group,"30-38 pounds (male), 25-34 pounds (female)",10.5-12.5 inches,12-15 years,"['Affectionate', ' Loyal', ' Smart']",http://images.akc.org/pdf/breeds/standards/Cardigan_Welsh_Corgi.pdf,Ranks 68 of 195
